herd,last_census,notes
A La Peche,,
Banff,,
Barkerville,2023,
Bearhole Redwillow,,
Brazeau,,
Burnt Pine,,
Central Rockies,,
Charlotte Alplands,,
Chase,2021,
Columbia North,2022,
Columbia South,,
Duncan,,
Frisby-Boulder,,
George Mountain,,
Graham,2024,
Groundhog,,
Hart North,2024,
Hart South,2024,crap sightability
Itcha-Ilgachuz,2024,
Kennedy Siding,2024,
Klinse-Za,2024,
Maligne,,
Monashee,,
Nakusp,,
Narraway AB,,
Narrow Lake,,
North Cariboo,,
Purcells Central,,
Purcells South,,
Quintette,2022,Recruitment in 2024
Rainbows,,
Redrock/Prairie Creek,,
Scott West,,
South Selkirks,,
Takla,2023,
Telkwa,,
Tonquin,,
Tweedsmuir,2024,
Wells Gray North,2023,
Wells Gray South,2023,
Wolverine,2023,
