"herd","human","r","ext","ECCC","COSEWIC","H_V1998","r_class","r_clss2","area"
"A La Peche",26,-0.030400021202449,NA,"Central Group","DU8","Northern","-0.05--0.01","declining",6583.09531781245
"Banff",5,-0.092622025819451,1,"Central Group","DU8","Northern","< -0.05","declining",2251.40564464909
"Barkerville",83,-0.051166201439226,NA,"Southern Group","DU9","Mountain","< -0.05","declining",3048.45012867375
"Bearhole Redwillow",54,-0.031798404563964,NA,"Central Group","DU8","Northern","-0.05--0.01","declining",5326.29961729587
"Brazeau",3,-0.085539663677636,1,"Central Group","DU8","Northern","< -0.05","declining",1132.7261574327
"Burnt Pine",80,-0.190789918775769,1,"Central Group","DU8","Northern","< -0.05","declining",1708.59586577735
"Central Rockies",26,-0.021937745669371,1,"Southern Group","DU9","Mountain","-0.05--0.01","declining",2323.55997012059
"Charlotte Alplands",12,-0.004345743202075,NA,"Northern Group","DU7","Northern","-0.01-0.01","stable",5223.41533141593
"Chase",21,0.011329925471953,NA,"Northern Group","DU7","Northern",">0.01","increasing",12405.39817555
"Columbia North",42,-0.042128007154313,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",8214.31180567162
"Columbia South",27,-0.106323586383105,1,"Southern Group","DU9","Mountain","< -0.05","declining",4821.13962444493
"Duncan",23,-0.953633617366579,1,"Southern Group","DU9","Mountain","< -0.05","declining",3310.3523774779
"Frisby-Boulder",48,-0.085782728035314,1,"Southern Group","DU9","Mountain","< -0.05","declining",1660.54590852809
"George Mountain",83,-0.922699830204235,1,"Southern Group","DU9","Mountain","< -0.05","declining",427.38980181426
"Graham",39,-0.078394713735188,NA,"Northern Group","DU7","Northern","< -0.05","declining",9649.9870398301
"Groundhog",68,-0.030649964402382,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",2817.89784216054
"Hart North",42,-0.027044593570841,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",5226.18436588614
"Hart South",40,-0.014396172384508,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",6607.15857285716
"Itcha-Ilgachuz",64,-0.155124799108101,NA,"Northern Group","DU7","Northern","< -0.05","declining",19689.6660931123
"Kennedy Siding",41,-0.082438299148224,NA,"Central Group","DU8","Northern","< -0.05","declining",2113.93952772957
"Klinse-Za",48,-0.123230583793218,NA,"Central Group","DU8","Northern","< -0.05","declining",6452.04346266461
"Maligne",7,-0.158437907517612,1,"Central Group","DU8","Northern","< -0.05","declining",932.911923127755
"Monashee",59,-0.043503842587605,1,"Southern Group","DU9","Mountain","-0.05--0.01","declining",3796.05199588269
"Nakusp",42,-0.112220019426814,NA,"Southern Group","DU9","Mountain","< -0.05","declining",4942.46850157202
"Narraway AB",86,-0.078147751566362,NA,"Central Group","DU8","Northern","< -0.05","declining",1025.82358464063
"Narrow Lake",86,-0.274123048588543,1,"Southern Group","DU9","Mountain","< -0.05","declining",2403.69039554623
"North Cariboo",41,-0.025806392737012,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",6738.04665920751
"Purcells Central",40,-0.977064643549029,1,"Southern Group","DU9","Mountain","< -0.05","declining",6130.39942212177
"Purcells South",66,-0.104446475353874,1,"Southern Group","DU9","Mountain","< -0.05","declining",4177.0897245177
"Quintette",86,-0.112234945353962,NA,"Central Group","DU8","Northern","< -0.05","declining",5859.05164826972
"Rainbows",25,-0.060242007404687,NA,"Northern Group","DU7","Northern","< -0.05","declining",4278.91042789727
"Redrock/Prairie Creek",39,-0.083853035500276,NA,"Central Group","DU8","Northern","< -0.05","declining",6979.61460861682
"Scott West",73,-0.05,1,"Central Group",NA,NA,"< -0.05","declining",1910.56826355755
"South Selkirks",54,-0.097009304539368,1,"Southern Group","DU9","Mountain","< -0.05","declining",3708.41412082598
"Takla",40,-0.057958475990197,NA,"Northern Group","DU7","Northern","< -0.05","declining",2119.07549317315
"Telkwa",48,0.08184396647553,NA,"Northern Group","DU7","Northern",">0.01","increasing",6950.20960910067
"Tonquin",5,0.017328265225836,NA,"Central Group","DU8","Northern",">0.01","increasing",1354.2216812998
"Tweedsmuir",38,-0.022275739946128,NA,"Northern Group","DU7","Northern","-0.05--0.01","declining",23238.9853932972
"Wells Gray North",44,-0.029591763243424,NA,"Southern Group","DU9","Mountain","-0.05--0.01","declining",8488.33802445253
"Wells Gray South",32,0.017706596849317,NA,"Southern Group","DU9","Mountain",">0.01","increasing",11099.455050354
"Wolverine",38,0.002548238158282,NA,"Northern Group","DU7","Northern","-0.01-0.01","stable",10485.3341650597
