"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",102,168,272,-0.101491773977277,0.10422655293899,0.327228196252083,114,232,396,-0.176531593579197,0.100648118834144,0.354905968551748,-0.00281990565890158,0.098455606604273,0.208781284924205,3.126,2,3
"2","Chase",231,328,488,-0.154197019043491,0.0846542837845362,0.302532265773872,255,386,718,-0.247422918564901,0.0694201254765271,0.355424141971165,-0.0350334617362347,0.0620790468133031,0.181406389119839,3.58174523570712,2,6
"3","Columbia North",96,130,182,-0.143992062780788,0.0719235993800926,0.322437848520737,95,156,256,-0.19203200700129,0.0613036011834971,0.337441443700021,-0.0430535793836335,0.0659078558463693,0.170294592304302,3.574,2,6
"4","Graham",56,77,110,-0.187221218883313,0.0392207131532813,0.268564936058666,28,81,161,-0.718504810195246,0.0309311228683924,0.471331783001446,-0.235163683182896,0.0167641952556791,0.169131565271759,4.86117136659436,2,NA
"5","Hart North",67,90,123,-0.162198801151325,0.0852499089143938,0.317479218293778,60,101,238,-0.628706506905403,0.0653116405656263,0.529717461645168,-0.117237750200843,0.047406042994135,0.248092466271178,3.83214649033571,2,8
"6","Kennedy Siding",64,89,123,-0.167151677500178,0.141411654049828,0.437305137141153,25,82,255,-1.43902816976504,0.0800427076735364,0.68628535099612,-0.251908531096149,0,0.263838721758211,5.90271966527197,3,26
"7","Klinse-Za",49,64,82,-0.113328685307003,0.103668736311242,0.320013696109828,37,78,177,-0.726078914833056,0.0973036220246378,0.552374725460463,-0.094718641446059,0.0760927611805494,0.253001167325072,3.65929648241206,2,6
"8","Quintette",52,72,96,-0.133531392624523,0.101782694309942,0.32858590010566,51,89,191,-0.415970263454112,0.113543785331831,0.47155152474726,-0.0325093383709751,0.0810930216216329,0.252815555655031,3.397,2,4
"9","Redrock/Prairie Creek",89,148,242,-0.106995040613643,0.112005058376495,0.388237173864896,99,200,465,-0.329546217302358,0.119666414553591,0.498530030493936,-0.00997175793147905,0.103713197338219,0.267583814438569,3.158,2,3
"10","Takla",15,23,34,-0.167173988969754,0.0363676441708748,0.22314355131421,12,22,45,-0.207639364778244,0.0377403279828471,0.302280871872934,-0.0979242863626366,-0.00727352883417497,0.138766430982929,11.4216494845361,7,40
"11","Tweedsmuir",56,102,161,-0.156008160533549,0.102902677346075,0.34837531907112,60,129,248,-0.220974714670249,0.0870113769896297,0.384120082974555,-0.0467405449468383,0.0846841991061846,0.205438741890267,3.33466933867735,2,4
"12","Wells Gray North",79,109,150,-0.251338571208905,0,0.217427608485439,30,107,165,-0.606609751413931,-0.00877215482545474,0.358083166574929,-0.348313824868865,-0.00747750641432407,0.0950365846568747,6.3379746835443,4,NA
"13","Wells Gray South",74,130,264,-0.184464053579681,0.0431721718652088,0.259118762394659,73,143,303,-0.226057991138603,0.0340464582119804,0.282101534412701,-0.0604032903311485,0.0313189831998994,0.149746004420432,4.58994974874372,2,11
"14","Wolverine",143,187,269,-0.175722671938131,0.0878403282720392,0.333901371585217,149,218,427,-0.274487074538838,0.0763001720862291,0.395845053751584,-0.0403064972636587,0.0620436745415077,0.193293336781546,3.69639278557114,2,6
