"","herd","N.2023.lower95","N.2023.median","N.2023.upper95","r.2023.lower95","r.2023.median","r.2023.upper95","decline.probability.2023","E.probability.2yrs","E.probability.5yrs","E.probability.10yrs","E.probability.30yrs"
"1","Barkerville",22,31,43,-0.22314355131421,-0.0281708769666963,0.146648887465035,0.537,0,0,0.002,0.194
"2","Bearhole Redwillow",10,23,40,-0.207639364778244,0.0270731816849785,0.23055560749797,0.327,0.001,0.002,0.014,0.074
"3","Charlotte Alplands",8,12,23,-0.287682072451781,0,0.271996293739095,0.304,0,0.004,0.041,0.238
"4","Groundhog",18,22,27,-0.0465200156348928,0.139761942375159,0.313777463161629,0.036,0,0,0,0
"5","Nakusp",12,17,23,-0.182321556793955,0,0.200670695462151,0.283,0,0.003,0.01,0.121
"6","Narraway AB",29,46,72,-0.052643733485422,0.0800427076735364,0.22658549737671,0.079,0,0,0,0
"7","Rainbows",11,17,27,-0.211309093667207,0.0392207131532813,0.24697143669026,0.298,0,0.001,0.007,0.124
"8","Takla",16,22,32,-0.154273530197319,0.0425596144187959,0.21140415081595,0.264,0,0,0.002,0.062
"9","Telkwa",12,16,23,-0.143100843640673,0.0976968191806538,0.336472236621213,0.16,0,0,0.001,0.007
"10","Tonquin",20,27,33,-0.196710294246054,0.0408219945202552,0.256022819670898,0.26,0,0,0.001,0.004
