"","herd","N.2023.lower95","N.2023.median","N.2023.upper95","r.2023.lower95","r.2023.median","r.2023.upper95","decline.probability.2023","FE.probability.10yrs","FE.probability.30yrs","FE.probability.100yrs","time2FE.median"
"1","A La Peche",99,153,224,0.00672441206877699,0.101096116871369,0.216248626487571,0.011,0,0,0,NA
"2","Barkerville",22,31,43,-0.229598172068684,-0.0289875368732523,0.150378914968786,0.537,0.011,0.37,0.972,NA
"3","Chase",226,308,405,-0.0182187823607626,0.0870113769896297,0.205445332135561,0.042,0.027,0.348,0.897,NA
"4","Columbia North",95,120,151,-0.029009172530163,0.0787808778531144,0.170643835404911,0.058,0.001,0.001,0.001,NA
"5","Graham",59,75,94,-0.0635134057223259,0.0392207131532813,0.141998525829644,0.19,0.015,0.141,0.493,NA
"6","Hart North",68,83,100,-0.0134230203321407,0.094748697432013,0.207655806738719,0.033,0.009,0.057,0.134,NA
"7","Hart South",163,190,219,0.02285168042208,0.117783035656383,0.202337689013026,0.004,0.003,0.029,0.078,NA
"8","Itcha-Ilgachuz",183,282,427,-0.293016311238372,-0.1003774464948,0.0488103335936805,0.871,0.029,0.411,0.999,NA
"9","Kennedy Siding",63,77,89,0.0644979037443961,0.147920130076622,0.235320386543923,0.001,0,0,0,NA
"10","Klinse-Za",50,57,65,0.0166670725253176,0.107245530353598,0.206336432997829,0.013,0.013,0.098,0.302,NA
"11","North Cariboo",70,92,116,-0.145190149190166,0,0.111256943818136,0.473,0.768,0.996,1,NA
"12","Quintette",53,64,80,-0.000349656049368476,0.100083458556983,0.232931557680373,0.025,0.002,0.004,0.004,NA
"13","Redrock/Prairie Creek",83,132,188,0.00710902324927683,0.111408350259343,0.229578686487027,0.02,0,0,0,NA
"14","Takla",16,22,32,-0.162563532542612,0.0444517625708338,0.22314355131421,0.264,0.005,0.018,0.035,NA
"15","Tweedsmuir",53,92,144,0,0.105827587153725,0.232960084284523,0.022,0.001,0.002,0.002,NA
"16","Wells Gray North",85,111,140,-0.147367805918491,-0.00809721023261936,0.12389033163249,0.507,0.122,0.693,0.999,NA
"17","Wells Gray South",72,126,235,-0.110005951337311,0.0405121287460334,0.192800278417186,0.269,0.031,0.235,0.72,NA
"18","Wolverine",132,175,225,-0.0275735018688825,0.0947578725001428,0.231571252407811,0.054,0,0.002,0.002,NA
