"","herd","N.pre_removal.lower95","N.pre_removal.median","N.pre_removal.upper95","r.pre_removal.lower95","r.pre_removal.median","r.pre_removal.upper95","N.post_removal.lower95","N.post_removal.median","N.post_removal.upper95","r.post_removal.lower95","r.post_removal.median","r.post_removal.upper95","r.5yr.lower95","r.5yr.median","r.5yr.upper95","time2recovery.mean","time2recovery.upper50","time2recovery.upper95"
"1","A La Peche",104,170,260,-0.114040228756897,0.101861366326468,0.326523137264806,86,194,410,-0.290386531910835,0.107540940763472,0.496915926410351,-0.065125564952437,0.0670110116869886,0.221375930756496,4.419,2,8
"2","Chase",233,333,479,-0.129876891251014,0.0869746710574714,0.322944600487072,70,336,798,-1.1108932104325,0.0535596256179655,0.600197431236183,-0.369522193050083,0.0199561634987447,0.197910078473199,5.42027334851936,3,NA
"3","Columbia North",94,128,172,-0.139007790959252,0.0684027268844006,0.294308097800844,69,129,263,-0.355756204011644,0.0850755105868496,0.414018152070937,-0.0936542622023875,0.0278354395717167,0.191717788112196,6.557,4,14
"4","Graham",56,76,107,-0.226140407950159,0.0266682470821613,0.23778769726574,26,55,116,-0.587786664902119,0.0281708769666962,0.457298009159059,-0.225278055772398,-0.0593983431439631,0.108958275728863,18.8644736842105,19,NA
"5","Hart North",65,90,135,-0.187123196352721,0.0964602661875623,0.405465108108164,37,80,237,-0.842125434463253,0.0991091542249182,0.587903215229764,-0.202872283308259,0.00250013022054173,0.211710773801556,9.11443298969072,6,33
"6","Hart South",149,213,300,-0.220964442630064,0.116903838658805,0.384238619542493,83,230,666,-0.877536846214525,0.105835679284253,0.663697286668708,-0.214533162039387,0.0563577905419769,0.298328326555592,5.86666666666667,3,17
"7","Itcha-Ilgachuz",155,258,406,-0.376756230511791,-0.101985335757132,0.181818152444291,74,176,347,-0.441619248015942,-0.0922443045194104,0.271988600247728,-0.315387618212352,-0.116181506864188,0.00880115813955193,8.32142857142857,NA,NA
"8","Kennedy Siding",67,88,116,-0.0827484996325499,0.144039370222938,0.360656501800316,51,98,194,-0.295880536600367,0.152816783073386,0.544198748458082,-0.0683039000272052,0.0765361645569621,0.237236317263153,4.988,3,8
"9","Klinse-Za",48,64,84,-0.154150679827258,0.10354067894084,0.346404277970835,10,54,106,-0.916290731874155,0.100717976408635,0.600829416007348,-0.585523337012464,0.00370412716803492,0.154736260909444,8.83046683046683,8,NA
"10","Quintette",51,72,98,-0.144369258102445,0.100083458556983,0.338658653081705,33,64,119,-0.246151244748724,0.103184236235231,0.416199767311789,-0.117572741313111,0.0174022753979259,0.157760917633657,8.00200400801603,6,15
"11","Redrock/Prairie Creek",87,148,223,-0.127975822037751,0.112575572965402,0.340205489855448,78,172,365,-0.279768298101058,0.123233239458032,0.454420196270995,-0.0624526140434318,0.0716009173921431,0.214829166704124,4.341,3,7
"12","Tweedsmuir",54,102,174,-0.196672167586447,0.105360515657826,0.391715864505543,36,105,287,-0.450551558427514,0.117783035656383,0.581095709071215,-0.121255489401741,0.0342175984309155,0.246882694429787,6.27582748244734,4,12
"13","Wells Gray South",72,129,257,-0.184222733694806,0.0379200871075587,0.273606196246788,39,116,298,-0.750464143089712,0.0333374496777721,0.455138219056188,-0.286642877057689,-0.014102327122391,0.146471219889037,11.7585421412301,8,NA
"14","Wolverine",137,192,263,-0.112397688594191,0.0953101798043249,0.3020336664293,108,202,473,-0.40070245566984,0.094182914908334,0.518379741496551,-0.0932119553150969,0.0359375523987503,0.218480567640239,5.523,3,12
